year,3898,3893,3511,3830,3510,3499
2014,,160.1204179679071,6.010182083193778,,5.686328469926619,-0.0028928113279734803
2015,,45.60278411511706,39.88695773403674,,8.264762845978552,-0.01449983517850884
2016,,49.40436954144614,17.49339714308109,,6.926559760282993,3.817657863594136
2017,322.26228121412316,104.48347398739149,20.2034617514955,,4.398561300328305,14.084160771113215
2018,,88.73203176356787,25.259088234632486,,6.815723553480421,21.30802981146318
2019,,568.4718045672432,33.37154290846657,,17.848601405801848,25.454594796101667
2020,196.24678032626028,124.37139703176744,301.5381231448547,,7.934309051882742,24.182952189378145
2021,,194.2329800316357,50.502942908857385,344.1163922680707,253.28630973119368,28.930770400836174
2022,300.91804075874677,557.300211485199,134.153132051262,-37.12443301624596,3.6044938859472477,21.035269038783518
2023,488.2412091177746,,39.13652544065187,-34.213317098013356,3.024781112674775,0.3703532186462768
2024,585.4520425966025,,46.788160897646385,-31.4111428818497,7.147478606460539,-0.0072335345995145775
