year,per_capita_aide_sociale_asile,per_capita_maladie_accident,per_capita_invalidite,per_capita_famille_jeunesse,per_capita_vieillesse_survivants,per_capita_chomage,median_salary_ratio_aide_sociale_asile,median_salary_ratio_maladie_accident,median_salary_ratio_invalidite,median_salary_ratio_famille_jeunesse,median_salary_ratio_vieillesse_survivants,median_salary_ratio_chomage
2014,1132.609360458266,459.4443245619029,681.7224429384844,195.14435990886574,342.1691914812496,142.9566212010289,0.015159671277147796,0.006149538555545332,0.00912467131034485,0.0026119547048515063,0.004579842481545797,0.0019134358764459377
2015,1225.4744969687179,469.43115087094804,714.7428589297417,199.01445868843788,363.7760147596668,140.15820257277878,0.01627975047782451,0.0062361330420180145,0.009494963320709678,0.002643796943095248,0.004832563031506281,0.0018619241534191346
2016,1180.4996074531225,741.1837569113306,464.7896372764057,279.3417547809126,388.86554594854357,145.13055556626333,0.015475061709573731,0.009716110284087497,0.006092884972948531,0.0036618655914859286,0.005097602982913108,0.0019025032191057538
2017,1309.4473201877179,791.3364317508913,470.6879796169107,280.6287639227376,380.5829422546275,141.94016999335335,0.017206024915743166,0.0103980925017199,0.006184799479881618,0.003687437768353012,0.0050008270558003194,0.0018650815987773751
2018,1013.6672323854419,892.1530889994776,599.1886642954802,308.4975292503268,370.3887462788785,139.61422811880595,0.01335952385979021,0.011758040605718246,0.00789694586292741,0.004065811709240429,0.004881500689004145,0.0018400314739681317
2019,1276.1050902630977,1011.0223697660801,476.4120046446542,305.99512708289916,250.32626710731336,139.8135191195006,0.016590029774611256,0.013143816559621426,0.006193603804532686,0.003978095775908725,0.0032543716472609643,0.0018176484544916874
2020,1292.1157856003924,993.0295596712866,514.0009812339016,386.26517846191587,260.02085122040967,141.58591929351158,0.016593668587871684,0.012752729743556873,0.006600926969151662,0.004960512385857038,0.0033392516980070078,0.0018182811847422763
2021,1243.7429666416997,973.5818868034471,510.4576250405158,376.3567477144241,283.2924432445163,144.28961108487616,0.015734818160033647,0.012316961272246433,0.006457892123886895,0.004761357569384446,0.0035839841511628497,0.00182543407576636
2022,1353.8278580292756,945.5831851813513,521.1334740024868,405.11031053538136,291.37773519453145,139.45384579274452,0.016873913875128075,0.01178561154129713,0.006495331962340298,0.005049236097010935,0.0036316897895419713,0.0017381324881935451
2023,1479.6426339029874,996.7482095656047,547.3949637423003,447.11055024028036,295.88457089245816,137.6870931569426,0.018278024433034234,0.01231282994324544,0.0067619696084383375,0.005523156317821429,0.0036550618995510693,0.0017008485665201923
2024,1560.17944514104,1112.2607213096364,583.5566270016092,468.8407465273112,304.9340402384344,142.64813631099773,0.019102990561527085,0.01361862965654859,0.007145124730649539,0.005740532208435096,0.0037336423772949654,0.0017465978096654635
2025,1539.289491406183,1228.4032186025415,605.122965520593,488.1061203898054,315.0830916912937,145.56493324662762,0.01867979092527284,0.014907082406224716,0.007343368835500619,0.005923330425583776,0.003823638314781973,0.0017664789724604099
