year,pib_nominal_par_habitant_chf,pib_reel_par_habitant_chf,salaire_median_vaud_annuel_chf,salaire_median_vaud_approx_method
1997,52671.340794785254,61402.33023201655,61416.0,extrapolated_ch_index_backward
1998,53407.31693313966,62343.03956240398,61824.0,extrapolated_ch_index_backward
1999,54071.63259706407,62953.7682421612,62016.0,extrapolated_ch_index_backward
2000,57915.291114293046,66454.43741271517,62820.0,extrapolated_ch_index_backward
2001,57850.45274564801,65700.8033971055,64356.0,extrapolated_ch_index_backward
2002,57744.46063513146,65866.36133047189,65508.0,extrapolated_ch_index_backward
2003,57852.67085004325,64981.73221993619,66432.0,extrapolated_ch_index_backward
2004,60946.49017151143,68062.74276209356,67044.0,extrapolated_ch_index_backward
2005,60816.71800931482,67339.12999273886,67680.0,extrapolated_ch_index_backward
2006,64129.32099918167,69563.38069558032,68484.0,extrapolated_ch_index_backward
2007,67432.18426787479,71299.20173122724,69600.0,extrapolated_ch_index_backward
2008,71448.80798105478,74705.26933328403,71016.0,extrapolated_ch_index_backward
2009,68343.93869607711,72050.82327193102,72516.0,extrapolated_ch_index_backward
2010,71452.36704948057,75147.26048253826,73092.0,extrapolated_ch_index_backward
2011,70845.10933933513,74410.08739001627,73800.0,extrapolated_ch_index_backward
2012,74383.61788345016,78251.50652527608,74436.0,actual
2013,71491.46520259863,74848.69397463146,74568.0,interpolated_ch_index
2014,72786.94921290125,76236.88748871328,74712.0,actual
2015,70926.53583010747,75380.7119776309,75276.0,interpolated_ch_index
2016,74366.23760200758,79481.02320857502,76284.0,actual
2017,70540.82789935346,75315.70953465975,76104.0,interpolated_ch_index
2018,74409.9821911063,78888.41364503211,75876.0,actual
2019,73988.0945628765,78485.69114807586,76920.0,interpolated_ch_index
2020,70210.11381086716,74736.57169515324,77868.0,actual
2021,78563.12105691877,81986.06278190916,79044.0,interpolated_linear
2022,79928.24381824069,81557.06206143735,80232.0,actual
2023,79875.74772865037,81026.06723759041,80952.0,interpolated_linear
2024,84280.62729842513,84607.1524496932,81672.0,actual
2025,82620.03331304542,82620.03331304542,82404.0,extrapolated_recent_trend
