year,taxes_canton_groupe_mobilite_chf,taxes_canton_groupe_transactions_chf,taxes_canton_groupe_personnes_morales_chf,taxes_canton_groupe_autres_personnes_physiques_chf,taxes_canton_groupe_fortune_personnes_physiques_chf,taxes_canton_groupe_revenu_personnes_physiques_chf,taxes_canton_chf,taxes_canton_groupe_mobilite_pct_total,taxes_canton_groupe_transactions_pct_total,taxes_canton_groupe_personnes_morales_pct_total,taxes_canton_groupe_autres_personnes_physiques_pct_total,taxes_canton_groupe_fortune_personnes_physiques_pct_total,taxes_canton_groupe_revenu_personnes_physiques_pct_total
1990,110951574.0,90954297.0,221154760.0,217918410.0,187072667.0,1242960494.0,2071012202.0,5.357359743841818,4.391779870353463,10.678583148203007,10.522314151000835,9.032909937437443,60.01705314916344
1991,135355827.0,58432038.0,248365693.0,122296356.0,185840955.0,1380298467.0,2130589336.0,6.352975897932496,2.742529356206259,11.657135835772342,5.740024787207515,8.72251408846815,64.78482003441324
1992,137769760.0,53568983.32000017,233114386.0,70802379.0,186199127.0,1368727423.0,2050182058.32,6.719879312225276,2.612889089659516,11.370423668180138,3.453467886555317,9.082077674242205,66.76126236913757
1993,148918381.0,57484514.84999943,258020202.0,71264180.0,220134496.0,1556153623.0,2311975396.8499994,6.4411749884058915,2.486380907353964,11.16016209997499,3.0823935279369934,9.52148955823349,67.30839891809467
1994,151741482.0,64022223.0,240172568.0,77753287.0,237193773.0,1504035653.0,2274918986.0,6.6701927819771605,2.814263865834209,10.557411911282893,3.4178486125659333,10.426471204456334,66.11381162388346
1995,155615906.0,61613477.0,241703186.0,76859627.0,256132086.0,1543988904.0,2335913186.0,6.661887390878404,2.637661252535949,10.347267503288112,3.2903460394268267,10.964965972840739,66.09787184102997
1996,166539301.0,57805099.99999952,241845564.0,85978147.0,297455562.0,1525936090.0,2375559763.9999995,7.010528782470153,2.4333254366401,10.180571655784284,3.6192794769022707,12.521493523662834,64.23480112454037
1997,168437386.0,59660561.0,282471612.0,69381775.0,302168181.0,1562127945.0,2444247460.0,6.8911756586217345,2.4408560089083613,11.556588136947475,2.838574086111559,12.362421806505631,63.91038430290524
1998,170135783.0,84672098.00000048,296175558.0,77868644.0,381389960.0,1536768154.0,2547010197.0000005,6.679823394519373,3.324372163870079,11.62836169045773,3.057256861072551,14.974025641876922,60.33616024820334
1999,176248533.0,102023612.00000095,327108119.0,84325373.0,377835263.0,1645787954.0,2713328854.000001,6.495656902781012,3.760090187726316,12.05560168343678,3.1078198603050704,13.925155531479113,60.655675834271705
2000,181314147.0,104829990.99999952,362699280.0,84897211.0,356118983.0,1627996660.0,2717856271.9999995,6.67121911000009,3.8570836905535795,13.34505005789357,3.1236828773703462,13.102936555873917,59.90002770830849
2001,194224972.0,98081607.0,396118458.0,78180734.0,407256638.0,1840178036.0,3014040445.0,6.444006825528846,3.254156962714547,13.142440031192082,2.593884701504064,13.511983181101606,61.053528297958856
2002,198424813.0,112769835.00000048,314820450.0,82737389.0,428912425.0,1862393946.0,3000058858.0000005,6.614030670460931,3.758920752480799,10.493809118460968,2.7578588593144193,14.29680033964187,62.078580259641015
2003,201330499.0,107009466.0,309002910.0,72121705.0,384104638.0,1852370477.0,2925939695.0,6.880883407954174,3.657268336147304,10.560809251401881,2.4649074320720064,13.127565091528655,63.308566480895976
2004,201849996.0,141596285.0,428512404.0,101692019.0,498079363.0,2314912991.0,3686643058.0,5.475170577254187,3.8407918198843976,11.62337653139839,2.7583906931084297,13.510376653339678,62.791893725014916
2005,204988014.0,141150808.0,408694462.0,111774733.0,434079792.0,2603750230.0,3904438039.0,5.250128493587295,3.6151376098198087,10.46743367208548,2.8627610909309658,11.117599707413362,66.6869394261631
2006,202865312.0,165183972.00000095,552816914.0,124300565.0,465424874.0,2733808663.0,4244400300.000001,4.779598945933539,3.8918094506778944,13.024617729859267,2.928577801674361,10.96562155082309,64.40977452103185
2007,206118410.96,172614888.6999998,702808193.38,161771369.76,508955562.2999999,2838822974.9,4591091400.0,4.489529678280855,3.7597789645398874,15.308085423435482,3.5235928816403,11.085720539129321,61.83329251297415
2008,208341514.55,150827360.00000095,677716231.22,128392934.62,547918437.1,3030744032.86,4743940510.350001,4.3917396117311105,3.1793687056348254,14.285934440817833,2.706461734498592,11.549858939094818,63.88663656822282
2009,210835757.89,177024875.9300003,710798989.0799999,175965200.99999997,557673107.86,3288555606.0499997,5120853537.81,4.117199531939096,3.456940813146304,13.880478787994829,3.4362474868838713,10.890237413399957,64.21889596663594
2010,214182416.88,201484657.03999996,667165505.13,192085397.74,525099215.62,3320546077.63,5120563270.04,4.182790165550028,3.934814324409784,13.029142888118017,3.7512552352175015,10.254715896048252,64.84728149065641
2011,218584813.55,198547814.25,736303370.95,189528464.55,538997032.21,3336083129.09,5218044624.6,4.1890177121042935,3.8050233091906547,14.11071433691395,3.6321740840713623,10.329482995774839,63.93358756194489
2012,221994886.05,192332488.6100006,717900683.05,201433225.15,585206362.51,3523301492.39,5442169137.76,4.079161827399088,3.5341144999614027,13.191443795249045,3.7013407715018207,10.75318219071139,64.74075691517726
2013,224692725.25,182354678.29999924,755299931.8,370019503.24,639651167.6999999,3653858203.1,5825876209.389999,3.8568056919549023,3.130081583369118,12.964572274684222,6.351310771821963,10.979484367845414,62.71774531032438
2014,227136861.26,163728317.39999962,736189912.6,354905262.31000006,675122662.16,3686358309.69,5843441325.42,3.8870393080172567,2.8019159991861744,12.598567720658785,6.073565944199689,11.553511442360128,63.08539958557796
2015,234146771.8,169636799.91999912,738547918.5500001,374576058.42,727649417.32,3680731819.39,5925288785.4,3.9516516456875683,2.8629288134949094,12.464336259353184,6.321650673684649,12.280404275196496,62.119028332583184
2016,241412907.6,167307828.39999962,802219064.6999999,324727007.64,760296778.1,3748225834.9,6044189421.34,3.994132062566606,2.7680771851605437,13.27256657224597,5.372548492499228,12.578970066948065,62.013705620579586
2017,246470849.45,182526997.70000076,734339501.15,354104560.75,786276228.6,3879541148.9,6183259286.55,3.986099208003946,2.951954450576553,11.8762527514794,5.726826974897499,12.716209884814797,62.74265673022782
2018,250543469.05,201937155.6999998,720298816.0999999,377811911.73,843609897.3,3903068242.28,6297269492.16,3.978604843923587,3.2067415242655306,11.438272047857573,5.999614788605916,13.39643949413759,61.980327301209805
2019,253722173.45,191194710.8000011,590200046.65,369600911.41,852809045.0,4045848415.9,6303375303.21,4.025179546596118,3.0332115985959938,9.363238237606446,5.863539669322567,13.52940296234156,64.18542798553733
2020,257127199.45,207643602.6000004,817564254.9000001,397992471.55,864108352.7,4037818762.86,6582254644.06,3.9063696765672584,3.1545969250427506,12.42073269890571,6.046445983507473,13.127847514677878,61.344007201298936
2021,261301956.05,257486257.11999893,735239871.1000001,449438700.63,959187642.17,4085768626.63,6748423053.7,3.872044683190606,3.815502600697586,10.894987840113041,6.659907019071418,14.21350787491161,60.544049982015736
2022,259789304.75,238863820.4499989,783568274.21,418111021.8900001,919547897.89,4130520737.17,6750401056.36,3.8485017790940774,3.5385130224958927,11.607729195167575,6.193869347897041,13.622122451874663,61.18926420347074
2023,257600431.12,236153960.1999998,895083401.97,419100141.0,939565770.98,4241705487.5,6989209192.7699995,3.6856878083785967,3.3788366278160584,12.806647752022085,5.996388567587001,13.443091272070317,60.68934797212595
2024,237174013.2,220216604.20000076,927130923.17,437188913.16,985878645.55,4305845940.82,7113435040.1,3.334169945504497,3.0957842864746956,13.03351922022987,6.145960575944953,13.859389169822805,60.53117680202318
