year,charges_transfert_administration_generale_chf,charges_transfert_ordre_securite_chf,charges_transfert_formation_chf,charges_transfert_culture_sport_loisirs_eglise_chf,charges_transfert_sante_chf,charges_transfert_prevoyance_sociale_chf,charges_transfert_trafic_telecom_chf,charges_transfert_protection_environnement_chf,charges_transfert_economie_publique_chf,charges_transfert_finances_impots_chf,charges_transfert_prevoyance_maladie_accident_chf,charges_transfert_prevoyance_invalidite_chf,charges_transfert_prevoyance_vieillesse_survivants_chf,charges_transfert_prevoyance_famille_jeunesse_chf,charges_transfert_prevoyance_chomage_chf,charges_transfert_prevoyance_aide_sociale_asile_chf,charges_transfert_fonc_total_chf
2014,236613000.0,12478000.0,808827000.0,85561000.0,1289829000.0,2231395000.0,183036000.0,12644000.0,85771000.0,382141000.0,347050000.0,514952000.0,258464000.0,147406000.0,107985000.0,855538000.0,5328294000.0
2015,226139000.0,12733000.0,843997000.0,94254000.0,1312510000.0,2388909000.0,186486000.0,15069000.0,92119000.0,561170000.0,360287000.0,548563000.0,279197000.0,152743000.0,107571000.0,940548000.0,5733385000.0
2016,12896000.0,14933000.0,986139000.0,89443000.0,1371916000.0,2490255000.0,221419000.0,16843000.0,100050000.0,202633000.0,576827000.0,361723000.0,302635000.0,217398000.0,112948000.0,918725000.0,5506528000.0
2017,10088000.0,13712000.0,995093000.0,89459000.0,1257856000.0,2680747000.0,217617000.0,17084000.0,93896000.0,210205000.0,628625000.0,373907000.0,302329000.0,222927000.0,112755000.0,1040204000.0,5585757000.0
2018,17222000.0,20344000.0,1030407000.0,96217000.0,1572375000.0,2659346000.0,265070000.0,18027000.0,108273000.0,200525000.0,713867000.0,479448000.0,296371000.0,246848000.0,111714000.0,811098000.0,5987806000.0
2019,13471000.0,14292000.0,1058162000.0,98998000.0,1389488000.0,2788802000.0,243835000.0,18938000.0,106223000.0,177880000.0,814973000.0,384030000.0,201785000.0,246659000.0,112702000.0,1028653000.0,5910087000.0
2020,8835000.0,14875000.0,1075853000.0,127752000.0,1655069000.0,2924496000.0,263631000.0,18499000.0,203218000.0,211749000.0,809617000.0,419065000.0,211995000.0,314922000.0,115435000.0,1053462000.0,6503976000.0
2021,6432000.0,14449000.0,1097206000.0,136322000.0,1605963000.0,2909265000.0,287644000.0,18093000.0,431624000.0,286313000.0,801991000.0,420491000.0,233363000.0,310025000.0,118859000.0,1024537000.0,6793310000.0
2022,6756000.0,15776000.0,1109258000.0,122956000.0,1617007000.0,3037776000.0,273147000.0,17574000.0,129513000.0,237565000.0,785582000.0,432953000.0,242074000.0,336562000.0,115857000.0,1124748000.0,6567328000.0
2023,8875000.0,15949000.0,1144275000.0,119916000.0,1683393000.0,3304364000.0,301891000.0,18992000.0,138128000.0,245233000.0,843551000.0,463262000.0,250408000.0,378391000.0,116525000.0,1252226000.0,6981014000.0
2024,10475000.0,18562000.0,1168465000.0,121033000.0,1845573000.0,3570544000.0,292818000.0,22673000.0,152558000.0,253432000.0,951816000.0,499378000.0,260947000.0,401210000.0,122071000.0,1335122000.0,7456133000.0
2025,5722000.0,20290000.0,1184512000.0,126734000.0,1910458000.0,3734812000.0,315850000.0,20689000.0,147297000.0,310035000.0,1061618000.0,522963000.0,272303000.0,421834000.0,125801000.0,1330294000.0,7776400000.0
