year,cpi_dec1982_base100
1977,80.0
1978,80.8
1979,83.7
1980,87.1
1981,92.8
1982,98.0
1983,100.9
1984,103.9
1985,107.4
1986,108.2
1987,109.8
1988,111.8
1989,115.4
1990,121.6
1991,128.7
1992,133.9
1993,138.3
1994,139.5
1995,142.0
1996,143.2
1997,143.9
1998,144.0
1999,145.1
2000,147.4
2001,148.8
2002,149.8
2003,150.7
2004,152.0
2005,153.7
2006,155.4
2007,156.5
2008,160.3
2009,159.5
2010,160.6
2011,161.0
2012,159.9
2013,159.5
2014,159.5
2015,157.7
2016,157.0
2017,157.8
2018,159.3
2019,159.9
2020,158.7
2021,159.66776666666667
2022,164.1
2023,167.69976666666665
2024,169.48280833333334
2025,169.7
