year,pib_nominal_chf,pib_reel_chf
1997,31836665230.0,37114024485.44009
1998,32465186410.0,37897024546.15457
1999,33106762920.0,38545081404.23749
2000,35674545190.0,40934471448.60947
2001,35970485910.0,40851708339.465836
2002,36259652400.0,41359661869.3272
2003,36785620760.0,41318634432.046425
2004,39255451480.0,43839008424.836174
2005,39578972730.0,43823699747.104515
2006,42239354440.0,45818546765.570244
2007,45083877190.0,47669291592.66564
2008,48936860460.0,51167282482.291565
2009,47690537110.0,50277208580.80001
2010,50600922940.0,53217561486.7425
2011,51119067940.0,53691417067.22753
2012,54297883930.0,57121330469.76231
2013,53140821440.0,55636306659.14113
2014,54981005040.0,57586981465.461876
2015,54435903470.0,57854470300.69578
2016,57875598780.0,61856185793.09672
2017,56036505030.0,59829594602.98115
2018,59540040170.0,63123510839.03619
2019,59640915170.0,63266373806.17017
2020,57242305790.0,60932726903.05843
2021,64716606660.0,67536265174.78602
2022,66403665610.0,67756873147.083595
2023,67599084930.0,68572603781.37447
2024,72123062530.0,72402486101.6725
2025,71402380910.0,71402380910.0
2026,,72827665256.05878
2027,,73318851444.37828
