year,population_canton
1981,518827
1982,523322
1983,526436
1984,531374
1985,535333
1986,541343
1987,548138
1988,555458
1989,562688
1990,574661
1991,583903
1992,589657
1993,593190
1994,598587
1995,602172
1996,603156
1997,604440
1998,607879
1999,612276
2000,615978
2001,621784
2002,627933
2003,635850
2004,644097
2005,650791
2006,658659
2007,668581
2008,684922
2009,697802
2010,708177
2011,721561
2012,729971
2013,743317
2014,755369
2015,767497
2016,778251
2017,794384
2018,800162
2019,806088
2020,815300
2021,823753
2022,830791
2023,846303
2024,855749
2025,864226
