year,population_vevey
1981,15409
1982,15439
1983,15430
1984,15350
1985,15149
1986,15021
1987,14978
1988,15144
1989,15207
1990,15539
1991,15351
1992,15371
1993,15416
1994,15436
1995,15671
1996,15697
1997,15666
1998,15502
1999,15494
2000,15420
2001,15628
2002,15728
2003,15799
2004,16329
2005,16664
2006,16954
2007,17109
2008,17676
2009,18001
2010,18247
2011,18364
2012,18594
2013,18906
2014,19220
2015,19453
2016,19780
2017,19827
2018,19891
2019,19824
2020,19752
2021,19683
2022,19738
2023,20139
2024,20142
2025,20179
