year,taxes_communes_chf
1990,1427109158.0
1991,1500895879.0
1992,1472407133.0
1993,1601246284.0
1994,1580710357.0
1995,1638498032.0
1996,1658013225.0
1997,1706312370.0
1998,1730560165.0
1999,1856456570.0
2000,1882031254.0
2001,2069614375.0
2002,2058569283.0
2003,2019674657.0
2004,1887620560.0
2005,1954453855.0
2006,2103991778.0
2007,2263357911.0
2008,2344790333.0
2009,2523366626.0
2010,2527238862.0
2011,2363868753.0
2012,2531478388.0
2013,2683540019.53
2014,2701170377.21
2015,2736386039.06
2016,2795364558.13
2017,2857134617.95
2018,2935809371.0
2019,2929990413.59
2020,3035041877.84
2021,3143383371.95
2022,3150676177.19
2023,3270618779.15
2024,3352464723.19
