year,wage_index_ch_nominal,wage_index_ch_real
1942,125,87
1943,134,90
1944,143,94
1945,153,101
1946,169,110
1947,183,113
1948,193,119
1949,195,121
1950,197,123
1951,206,121
1952,212,124
1953,215,126
1954,218,126
1955,224,129
1956,233,132
1957,244,135
1958,252,138
1959,260,143
1960,272,147
1961,289,153
1962,310,158
1963,332,164
1964,358,171
1965,384,176
1966,412,182
1967,439,186
1968,460,191
1969,488,198
1970,534,207
1971,601,218
1972,667,226
1973,747,231
1974,838,236
1975,901,242
1976,920,245
1977,942,247
1978,972,254
1979,1004,250
1980,1058,254
1981,1124,251
1982,1203,253
1983,1248,259
1984,1283,258
1985,1323,259
1986,1370,267
1987,1403,268
1988,1452,273
1989,1507,274
1990,1595,272
1991,1706,277
1992,1788,280
1993,1836,278
1994,1862,280
1995,1887,279
1996,1910,280
1997,1919,280
1998,1932,282
1999,1938,280
2000,1963,279
2001,2011,284
2002,2047,287
2003,2076,289
2004,2095,289
2005,2115,289
2006,2140,289
2007,2175,292
2008,2219,290
2009,2266,298
2010,2284,298
2011,2306,301
2012,2326,305
2013,2343,308
2014,2361,311
2015,2370,315
2016,2386,319
2017,2395,318
2018,2407,317
2019,2429,319
2020,2449,324
